transaction_id,customer_id,datetime,stock_code,action,quantity,price,fee
TC001_4_close,C001,2023-07-07 13:47:00,FPT,sell,71,51.02,17.664523013181896
TC001_5_0,C001,2023-07-10 11:12:00,YEG,buy,26,5.67,0.7296932588719606
TC001_5_1,C001,2023-07-10 10:20:00,PET,buy,79,29.67,6.777987913814305
TC001_5_2,C001,2023-07-10 10:51:00,FPT,buy,58,54.48,11.069758415102218
TC001_5_3,C001,2023-07-10 11:30:00,PET,buy,48,28.72,6.5136306103829895
TC001_5_4,C001,2023-07-10 11:06:00,YEG,buy,51,7.27,0.4993742455548153
TC001_5_5,C001,2023-07-10 11:08:00,PET,buy,18,26.83,1.3925651462232802
TC001_5_6,C001,2023-07-10 09:46:00,PET,buy,65,27.54,7.186864921686029
TC001_5_7,C001,2023-07-10 13:17:00,YEG,sell,19,6.72,0.1616894649888466
TC001_5_8,C001,2023-07-10 14:33:00,FPT,sell,58,56.89,13.591585161525815
TC001_5_11,C001,2023-07-10 13:53:00,PET,sell,210,27.61,26.153728015032392
TC001_6_0,C001,2023-07-11 10:06:00,TCM,buy,64,38.28,4.363702139583894
TC001_6_1,C001,2023-07-11 10:57:00,TCM,buy,30,40.1,2.4547138913374797
TC001_6_2,C001,2023-07-11 10:04:00,CSV,buy,48,13.21,1.83047214881434
TC001_6_3,C001,2023-07-11 11:07:00,PET,buy,22,27.35,1.9021581325041812
TC001_6_4,C001,2023-07-11 11:00:00,TCM,buy,70,37.95,8.284359434598223
TC001_6_5,C001,2023-07-11 09:39:00,YEG,buy,47,7.16,0.9322719238489853
TC001_6_6,C001,2023-07-11 11:03:00,CSV,buy,26,13.21,0.910536648466774
TC001_6_7,C001,2023-07-11 13:36:00,PET,sell,9,30.92,1.0708844171428327
TC001_6_8,C001,2023-07-11 14:12:00,YEG,sell,8,11.15,0.3421052611111328
TC001_6_9,C001,2023-07-11 14:32:00,CSV,sell,74,11.44,3.2845734187650826
TC001_6_11,C001,2023-07-11 14:24:00,TCM,sell,22,35.55,2.053275983120297
TC001_7_0,C001,2023-07-12 11:15:00,YEG,buy,51,10.19,1.0575648399187145
TC001_7_1,C001,2023-07-12 09:59:00,CSV,buy,80,13.46,5.04022521367754
TC001_7_2,C001,2023-07-12 10:09:00,PET,buy,22,26.94,2.663114601870287
TC001_7_3,C001,2023-07-12 09:22:00,TCM,buy,64,37.78,6.8733288263574215
TC001_7_4,C001,2023-07-12 10:47:00,TCM,buy,66,41.29,11.924156420087884
TC001_7_5,C001,2023-07-12 10:31:00,YEG,buy,69,7.16,1.3759563066075764
TC001_7_6,C001,2023-07-12 14:34:00,YEG,sell,79,11.1,3.7380407460857588
TC001_7_9,C001,2023-07-12 14:53:00,TCM,sell,130,37.16,13.01873372922554
TC001_7_11,C001,2023-07-12 13:05:00,CSV,sell,80,16.03,5.20328252760397
TC001_7_close,C001,2023-07-12 13:24:00,PET,sell,22,27.58,2.224012653300334
TC001_8_0,C001,2023-07-13 09:18:00,CSV,buy,12,13.89,0.5175860557154799
TC001_8_1,C001,2023-07-13 11:28:00,YEG,buy,16,7.19,0.2396095748572756
TC001_8_2,C001,2023-07-13 10:57:00,CSV,buy,31,12.92,1.6102353525375521
TC001_8_5,C001,2023-07-13 14:17:00,CSV,sell,11,17.6,0.8852709577800485
TC001_8_close,C001,2023-07-13 14:46:00,YEG,sell,16,11.05,0.4327839163381075
TC001_9_0,C001,2023-07-14 10:56:00,CSV,buy,69,12.25,2.6990712038571276
TC001_9_1,C001,2023-07-14 09:03:00,YEG,buy,34,7.16,1.0293183677152558
TC001_9_2,C001,2023-07-14 10:40:00,FPT,buy,31,56.65,6.479888917051895
TC001_9_3,C001,2023-07-14 10:29:00,CSV,buy,54,13.8,1.4556280120168295
TC001_9_4,C001,2023-07-14 09:48:00,TCM,buy,41,38.21,6.556119965875128
TC001_9_5,C001,2023-07-14 11:06:00,YEG,buy,12,3.95,0.17148181489260436
TC001_9_6,C001,2023-07-14 13:45:00,CSV,sell,43,17.52,2.212267175886603
TC001_9_7,C001,2023-07-14 14:36:00,YEG,sell,19,5.26,0.2543455514648404
TC001_9_8,C001,2023-07-14 13:20:00,TCM,sell,20,36.39,1.8480392177705356
TC001_9_9,C001,2023-07-14 13:28:00,FPT,sell,16,57.58,2.3441792906139116
TC001_10_0,C001,2023-07-17 09:45:00,CSV,buy,26,13.53,1.486810457680838
TC001_10_1,C001,2023-07-17 11:13:00,PET,buy,71,26.99,5.9270879425664384
TC001_10_2,C001,2023-07-17 11:27:00,TCM,buy,40,39.13,4.856946108621678
TC001_10_3,C001,2023-07-17 09:28:00,YEG,buy,58,7.43,1.9555060225112166
TC001_10_4,C001,2023-07-17 14:49:00,TCM,sell,4,41.25,0.6243053639667733
TC001_10_5,C001,2023-07-17 14:54:00,CSV,sell,6,11.91,0.28188174866417226
TC001_10_close,C001,2023-07-17 14:51:00,PET,sell,71,30.01,8.665630675551677
TC001_10_close,C001,2023-07-17 13:17:00,YEG,sell,58,6.52,0.5803482694608091
TC001_11_0,C001,2023-07-18 10:36:00,CSV,buy,65,13.53,1.3508198593674619
TC001_11_1,C001,2023-07-18 09:51:00,TCM,buy,13,38.7,0.9027896576299239
TC001_11_2,C001,2023-07-18 10:17:00,FPT,buy,41,56.94,8.025214051862484
TC001_11_3,C001,2023-07-18 11:14:00,FPT,buy,75,55.61,14.159675678467615
TC001_11_4,C001,2023-07-18 13:57:00,CSV,sell,40,15.5,0.9414950483945247
TC001_11_5,C001,2023-07-18 14:37:00,FPT,sell,116,55.45,10.328501055583763
TC001_11_close,C001,2023-07-18 13:33:00,TCM,sell,13,39.79,1.2494651483195371
TC001_12_0,C001,2023-07-19 11:14:00,CSV,buy,21,14.76,1.0261852632642248
TC001_12_1,C001,2023-07-19 10:26:00,FPT,buy,18,56.79,4.7993854519066215
TC001_12_2,C001,2023-07-19 09:33:00,CSV,buy,23,13.23,1.2529615835454435
TC001_12_3,C001,2023-07-19 11:21:00,YEG,buy,46,7.0,0.37991305338753306
TC001_12_4,C001,2023-07-19 11:04:00,YEG,buy,15,7.54,0.194365687787706
TC001_12_5,C001,2023-07-19 10:44:00,YEG,buy,47,7.22,0.46033029191554203
TC001_12_7,C001,2023-07-19 14:49:00,YEG,sell,25,8.33,0.8480929299742184
TC001_12_close,C001,2023-07-19 13:44:00,CSV,sell,44,17.02,1.3520764039980246
TC001_12_close,C001,2023-07-19 14:56:00,FPT,sell,18,59.75,2.31230391332216
TC001_13_0,C001,2023-07-20 11:23:00,CSV,buy,50,13.41,3.196408090809831
TC001_13_1,C001,2023-07-20 09:08:00,YEG,buy,33,7.22,1.155528707485178
TC001_13_2,C001,2023-07-20 11:17:00,YEG,buy,77,10.24,3.1644103530566037
TC001_13_3,C001,2023-07-20 09:28:00,YEG,buy,71,8.95,2.002485782144494
TC001_13_4,C001,2023-07-20 11:06:00,PET,buy,26,26.85,1.3061679315032972
TC001_13_5,C001,2023-07-20 13:57:00,YEG,sell,72,7.5,1.4769602694062431
TC001_13_6,C001,2023-07-20 14:16:00,CSV,sell,34,10.53,1.4592568476676113
TC001_13_close,C001,2023-07-20 14:47:00,PET,sell,26,24.09,0.8608237020437446
TC001_14_0,C001,2023-07-21 11:18:00,YEG,buy,15,6.28,0.4218424048228602
TC001_14_1,C001,2023-07-21 11:10:00,YEG,buy,40,10.71,1.0794476581030137
TC001_14_2,C001,2023-07-21 11:09:00,YEG,buy,37,7.22,1.059877273651062
TC001_14_3,C001,2023-07-21 09:36:00,TCM,buy,12,37.57,1.2631766535428062
TC001_14_4,C001,2023-07-21 11:09:00,PET,buy,43,27.63,2.323383476633964
TC001_14_7,C001,2023-07-21 14:20:00,YEG,sell,38,8.44,0.4846472815073705
TC001_14_9,C001,2023-07-21 13:37:00,TCM,sell,7,41.0,0.45977001904897985
TC001_14_close,C001,2023-07-21 14:56:00,PET,sell,43,29.17,3.2455445003098067
TC001_15_0,C001,2023-07-24 11:09:00,CSV,buy,31,15.61,2.1692081678956656
TC001_15_1,C001,2023-07-24 09:30:00,YEG,buy,49,7.27,0.747519372900623
TC001_15_2,C001,2023-07-24 10:01:00,TCM,buy,22,35.99,1.4149996793384219
TC001_15_3,C001,2023-07-24 11:03:00,FPT,buy,66,58.6,10.694298037509991
TC001_15_4,C001,2023-07-24 10:11:00,CSV,buy,67,13.24,3.835389066555221
TC001_15_5,C001,2023-07-24 10:05:00,TCM,buy,65,36.87,4.264429583601348
TC001_15_6,C001,2023-07-24 09:09:00,TCM,buy,69,37.36,12.43317038692331
TC001_15_8,C001,2023-07-24 14:18:00,CSV,sell,98,13.39,4.414004189485233
TC001_15_10,C001,2023-07-24 14:38:00,FPT,sell,25,54.75,5.177878638437567
TC001_15_close,C001,2023-07-24 13:35:00,YEG,sell,49,5.5,1.1376522753293914
TC001_15_close,C001,2023-07-24 13:20:00,TCM,sell,156,33.62,21.79958738294375
TC001_16_0,C001,2023-07-25 09:43:00,CSV,buy,49,13.98,1.8438516378114227
TC001_16_1,C001,2023-07-25 09:15:00,YEG,buy,62,7.24,1.1322315435932289
TC001_16_2,C001,2023-07-25 10:14:00,FPT,buy,35,58.82,8.307794684524685
TC001_16_close,C001,2023-07-25 13:23:00,CSV,sell,49,17.46,1.390570484828519
TC001_16_close,C001,2023-07-25 13:37:00,YEG,sell,62,9.74,1.5867071228208156
TC001_16_close,C001,2023-07-25 13:28:00,FPT,sell,35,55.81,9.13690843596457
TC001_17_0,C001,2023-07-26 10:18:00,FPT,buy,13,63.53,3.4386617973666125
TC001_17_1,C001,2023-07-26 10:33:00,CSV,buy,80,13.59,2.8185567380573215
TC001_17_2,C001,2023-07-26 11:25:00,PET,buy,52,27.08,2.558674230758082
TC001_17_3,C001,2023-07-26 11:09:00,CSV,buy,77,16.32,3.1477622400813616
TC001_17_4,C001,2023-07-26 09:23:00,YEG,buy,74,7.43,0.6275718344280948
TC001_17_5,C001,2023-07-26 10:54:00,FPT,buy,12,63.6,1.1048751772539027
TC001_17_6,C001,2023-07-26 10:01:00,FPT,buy,24,59.83,3.1436885369448246
TC001_17_9,C001,2023-07-26 13:20:00,FPT,sell,33,62.19,3.056838832758354
TC001_17_11,C001,2023-07-26 13:03:00,CSV,sell,97,16.13,5.60556033781244
TC001_17_close,C001,2023-07-26 13:43:00,PET,sell,52,26.94,5.098985895378686
TC001_17_close,C001,2023-07-26 14:35:00,YEG,sell,74,3.62,0.9227160895165063
TC001_18_0,C001,2023-07-27 11:30:00,TCM,buy,39,36.43,6.918572308484409
TC001_18_1,C001,2023-07-27 11:01:00,YEG,buy,36,7.45,1.3033324981896215
TC001_18_2,C001,2023-07-27 09:20:00,PET,buy,27,26.99,2.6416763672758257
TC001_18_3,C001,2023-07-27 09:44:00,CSV,buy,49,13.35,2.007007173096646
TC001_18_4,C001,2023-07-27 13:05:00,CSV,sell,49,14.01,1.2128596339754485
TC001_18_5,C001,2023-07-27 14:42:00,PET,sell,27,30.0,3.893230715748914
TC001_18_close,C001,2023-07-27 14:22:00,TCM,sell,39,37.07,5.734604890168767
TC001_18_close,C001,2023-07-27 14:31:00,YEG,sell,36,6.08,0.6069112380696315
TC001_19_0,C001,2023-07-28 11:04:00,FPT,buy,66,61.06,10.52354705155704
TC001_19_1,C001,2023-07-28 10:51:00,TCM,buy,23,36.72,4.011626512304601
TC001_19_2,C001,2023-07-28 11:19:00,PET,buy,18,27.35,1.2277147869850251
TC001_19_4,C001,2023-07-28 14:35:00,TCM,sell,5,40.5,1.0044840811286204
TC001_19_close,C001,2023-07-28 14:55:00,FPT,sell,66,64.39,19.325839536931575
TC001_19_close,C001,2023-07-28 14:44:00,PET,sell,18,29.11,2.138032065429547
TC001_20_0,C001,2023-07-31 11:06:00,TCM,buy,11,36.65,0.6147600398707572
TC001_20_1,C001,2023-07-31 09:59:00,PET,buy,36,27.22,2.892562811210753
TC001_20_2,C001,2023-07-31 11:13:00,TCM,buy,13,38.92,1.3074654311873866
TC001_20_close,C001,2023-07-31 14:55:00,TCM,sell,24,33.53,3.481120768027647
TC001_20_close,C001,2023-07-31 13:58:00,PET,sell,36,25.11,3.4139075327032637
TC001_21_0,C001,2023-08-01 10:15:00,TCM,buy,69,36.65,11.238798952084652
TC001_21_1,C001,2023-08-01 10:42:00,YEG,buy,58,7.14,0.6720749083027748
TC001_21_2,C001,2023-08-01 09:11:00,FPT,buy,25,61.13,5.200098975560228
TC001_21_3,C001,2023-08-01 10:57:00,YEG,buy,40,10.63,1.7013809856490456
TC001_21_4,C001,2023-08-01 10:42:00,PET,buy,19,26.49,0.8911163214365031
TC001_21_6,C001,2023-08-01 14:05:00,FPT,sell,13,59.14,3.2239986175764805
TC001_21_7,C001,2023-08-01 13:06:00,PET,sell,7,23.67,0.24270330413362956
TC001_21_close,C001,2023-08-01 14:32:00,TCM,sell,69,39.26,7.636044867895868
TC001_21_close,C001,2023-08-01 13:31:00,YEG,sell,98,3.96,0.8232822198938882
TC001_22_0,C001,2023-08-02 10:12:00,PET,buy,69,26.9,8.97408150964287
TC001_22_1,C001,2023-08-02 11:09:00,TCM,buy,46,36.36,7.179671115239418
TC001_22_2,C001,2023-08-02 09:43:00,CSV,buy,73,13.82,1.7055331752676164
TC001_22_3,C001,2023-08-02 11:23:00,CSV,buy,33,14.97,1.7923407520328205
TC001_22_4,C001,2023-08-02 10:27:00,YEG,buy,54,4.43,0.8305916808669499
TC001_22_5,C001,2023-08-02 09:26:00,YEG,buy,30,7.11,0.41314359581008847
TC001_22_6,C001,2023-08-02 13:39:00,TCM,sell,46,33.34,2.524164105868085
TC001_22_10,C001,2023-08-02 14:54:00,YEG,sell,54,3.27,0.47042249387737073
TC001_22_close,C001,2023-08-02 13:13:00,PET,sell,69,23.72,4.549119003075588
TC001_22_close,C001,2023-08-02 13:45:00,CSV,sell,106,10.37,1.3203002968684243
TC001_23_0,C001,2023-08-03 09:49:00,YEG,buy,56,7.16,1.7714122763544509
TC001_23_1,C001,2023-08-03 10:57:00,YEG,buy,48,10.29,2.2446092775085282
TC001_23_2,C001,2023-08-03 10:33:00,PET,buy,47,27.99,5.019575917906863
TC001_23_3,C001,2023-08-03 11:22:00,PET,buy,16,31.38,1.1630155854552617
TC001_23_4,C001,2023-08-03 10:46:00,PET,buy,28,24.44,3.112696376380391
TC001_23_5,C001,2023-08-03 13:57:00,YEG,sell,39,10.69,0.9725590488462026
TC001_23_9,C001,2023-08-03 13:34:00,PET,sell,27,29.82,1.4391708986645935
TC001_24_0,C001,2023-08-04 10:59:00,TCM,buy,30,39.01,1.602856486274792
TC001_24_1,C001,2023-08-04 11:20:00,YEG,buy,73,7.19,0.7003074886160237
TC001_24_2,C001,2023-08-04 11:20:00,FPT,buy,16,60.27,3.231841252498286
TC001_24_3,C001,2023-08-04 09:41:00,TCM,buy,16,36.29,1.0750913739023495
TC001_24_4,C001,2023-08-04 14:38:00,TCM,sell,30,39.75,2.124271806587863
TC001_24_5,C001,2023-08-04 13:28:00,FPT,sell,16,57.52,2.3793224508526682
TC001_24_close,C001,2023-08-04 14:21:00,YEG,sell,73,10.54,2.639801321674388
TC001_25_0,C001,2023-08-07 11:02:00,PET,buy,17,29.84,2.4220978865702802
TC001_25_1,C001,2023-08-07 10:33:00,PET,buy,33,27.99,1.186782910960899
TC001_25_2,C001,2023-08-07 10:05:00,FPT,buy,61,58.75,11.455585664610625
TC001_25_3,C001,2023-08-07 10:13:00,CSV,buy,64,14.14,1.2025319432966488
TC001_25_4,C001,2023-08-07 09:23:00,FPT,buy,76,61.13,10.723933027033885
TC001_25_5,C001,2023-08-07 10:48:00,TCM,buy,25,35.87,2.3215334077164163
TC001_25_6,C001,2023-08-07 09:57:00,FPT,buy,12,61.52,2.930600893742792
TC001_25_7,C001,2023-08-07 13:37:00,TCM,sell,25,36.79,2.483282924962821
TC001_25_11,C001,2023-08-07 14:54:00,CSV,sell,26,16.74,1.0202089499234566
TC001_25_close,C001,2023-08-07 14:46:00,PET,sell,50,26.43,2.7782165697259997
TC001_25_close,C001,2023-08-07 13:23:00,FPT,sell,149,60.46,12.713878346232438
TC001_26_0,C001,2023-08-08 10:52:00,FPT,buy,35,60.92,2.2092835999771836
TC001_26_1,C001,2023-08-08 10:16:00,TCM,buy,73,39.57,5.37562080765873
TC001_26_2,C001,2023-08-08 11:22:00,YEG,buy,41,7.43,1.105139635629802
TC001_26_3,C001,2023-08-08 11:01:00,TCM,buy,52,39.82,5.891764808415997
TC001_26_4,C001,2023-08-08 09:20:00,PET,buy,18,27.54,1.2698083579847457
TC001_26_5,C001,2023-08-08 11:18:00,PET,buy,71,26.86,2.027636348264647
TC001_26_6,C001,2023-08-08 09:52:00,TCM,buy,27,36.15,4.7311781016046615
TC001_26_7,C001,2023-08-08 13:22:00,TCM,sell,24,33.63,3.903181104098966
TC001_26_9,C001,2023-08-08 13:59:00,YEG,sell,20,4.68,0.10365560059686958
TC001_26_close,C001,2023-08-08 14:08:00,FPT,sell,35,64.3,6.431262407845941
TC001_26_close,C001,2023-08-08 13:04:00,PET,sell,89,28.55,5.468394170938459
TC001_27_0,C001,2023-08-09 10:29:00,YEG,buy,39,7.35,0.39895836187598244
TC001_27_1,C001,2023-08-09 11:15:00,PET,buy,30,27.88,2.2269966519186437
TC001_27_4,C001,2023-08-09 14:23:00,YEG,sell,39,10.87,1.7057087597925136
TC001_27_close,C001,2023-08-09 14:33:00,PET,sell,30,27.23,2.5614723566484106
TC001_28_0,C001,2023-08-10 09:27:00,CSV,buy,43,13.62,1.249893781928444
TC001_28_1,C001,2023-08-10 09:19:00,PET,buy,32,27.09,2.9909281044960805
TC001_28_close,C001,2023-08-10 13:31:00,CSV,sell,43,16.8,2.7412400155861323
TC001_28_close,C001,2023-08-10 14:36:00,PET,sell,32,28.4,1.8644991378632303
TC001_29_0,C001,2023-08-11 11:14:00,TCM,buy,26,36.29,2.674735456681966
TC001_29_1,C001,2023-08-11 11:28:00,YEG,buy,66,7.16,1.3839248676554774
TC001_29_2,C001,2023-08-11 11:06:00,FPT,buy,18,59.33,2.7972137461851787
TC001_29_3,C001,2023-08-11 11:29:00,PET,buy,55,26.91,5.2105439937902265
TC001_29_4,C001,2023-08-11 09:14:00,PET,buy,20,26.6,0.7772544750543577
TC001_29_5,C001,2023-08-11 11:17:00,FPT,buy,58,58.95,9.964572407426852
TC001_29_6,C001,2023-08-11 09:54:00,PET,buy,21,28.34,2.8705899505502335
TC001_29_8,C001,2023-08-11 13:38:00,TCM,sell,17,36.65,2.354502243747014
TC001_29_10,C001,2023-08-11 14:25:00,PET,sell,45,27.83,2.8101297482634533
TC001_29_11,C001,2023-08-11 13:18:00,FPT,sell,20,61.77,1.3010266054813706
TC001_29_close,C001,2023-08-11 13:16:00,YEG,sell,66,5.04,1.0469735090271406
TC001_30_0,C001,2023-08-14 09:11:00,PET,buy,69,27.29,7.5925405647689725
TC001_30_1,C001,2023-08-14 11:00:00,CSV,buy,63,16.31,4.591190582115492
TC001_30_2,C001,2023-08-14 09:01:00,CSV,buy,49,13.62,1.4824804040061492
TC001_30_3,C001,2023-08-14 11:08:00,PET,buy,61,31.26,9.070302821618162
TC001_30_6,C001,2023-08-14 13:17:00,PET,sell,69,25.44,3.9009173498210354
TC001_30_close,C001,2023-08-14 14:27:00,CSV,sell,112,14.48,5.155459092254572
TC001_31_0,C001,2023-08-15 10:13:00,FPT,buy,43,60.77,11.133876993789114
TC001_31_1,C001,2023-08-15 11:29:00,PET,buy,58,23.97,6.303447667918621
TC001_31_2,C001,2023-08-15 09:21:00,YEG,buy,31,7.3,0.5892460958598016
TC001_31_3,C001,2023-08-15 11:07:00,YEG,buy,20,7.69,0.24382520746784211
TC001_31_4,C001,2023-08-15 10:40:00,PET,buy,10,24.49,0.8303159910008998
TC001_31_5,C001,2023-08-15 11:07:00,FPT,buy,17,58.7,3.771920855316519
TC001_31_6,C001,2023-08-15 09:44:00,PET,buy,20,27.49,0.7188017069607524
TC001_31_7,C001,2023-08-15 14:58:00,FPT,sell,17,58.43,3.6870603858035023
TC001_31_11,C001,2023-08-15 14:41:00,PET,sell,88,24.63,9.43037090143908
TC001_31_close,C001,2023-08-15 14:31:00,YEG,sell,51,5.32,1.0260721865624762
TC001_32_0,C001,2023-08-16 10:47:00,CSV,buy,61,13.68,4.068605659609213
TC001_32_1,C001,2023-08-16 09:57:00,YEG,buy,36,7.24,1.2863351943092658
TC001_32_3,C001,2023-08-16 14:17:00,CSV,sell,42,15.78,1.6813513008894527
TC001_32_close,C001,2023-08-16 14:58:00,YEG,sell,36,7.71,0.50352057788355
TC001_33_0,C001,2023-08-17 11:03:00,FPT,buy,13,62.22,2.2583672276523057
TC001_33_1,C001,2023-08-17 11:19:00,FPT,buy,70,63.54,6.595549260662931
TC001_33_2,C001,2023-08-17 10:50:00,YEG,buy,60,7.14,1.3222503295537105
TC001_33_close,C001,2023-08-17 13:29:00,FPT,sell,83,63.2,20.760283471553095
TC001_33_close,C001,2023-08-17 14:38:00,YEG,sell,60,3.7,0.871123867255492
TC001_34_0,C001,2023-08-18 09:40:00,TCM,buy,50,33.32,6.14044693267184
TC001_34_1,C001,2023-08-18 11:22:00,YEG,buy,10,6.66,0.2541755730956202
TC001_34_2,C001,2023-08-18 10:35:00,PET,buy,65,25.22,6.945267112628536
TC001_34_3,C001,2023-08-18 11:18:00,TCM,buy,15,30.8,0.8458322731679674
TC001_34_4,C001,2023-08-18 11:24:00,PET,buy,65,22.17,6.604700503413658
TC001_34_5,C001,2023-08-18 14:30:00,TCM,sell,38,32.44,1.4737374750045853
TC001_34_8,C001,2023-08-18 13:05:00,YEG,sell,3,4.27,0.0409198762857753
TC001_34_close,C001,2023-08-18 13:04:00,PET,sell,130,26.83,7.799911838373702
TC001_35_0,C001,2023-08-21 10:10:00,PET,buy,13,24.83,0.7250134984882448
TC001_35_1,C001,2023-08-21 10:35:00,CSV,buy,67,12.63,2.8559404868127958
TC001_35_2,C001,2023-08-21 09:27:00,YEG,buy,19,6.63,0.5005386694649417
TC001_35_3,C001,2023-08-21 11:14:00,FPT,buy,29,62.15,3.9794952910842514
TC001_35_4,C001,2023-08-21 13:16:00,CSV,sell,15,13.25,0.3133364906913364
TC001_35_close,C001,2023-08-21 14:50:00,PET,sell,13,21.62,1.1273591966403405
TC001_35_close,C001,2023-08-21 14:49:00,YEG,sell,19,7.45,0.6731821807275495
TC001_35_close,C001,2023-08-21 13:17:00,FPT,sell,29,63.77,5.094078718599354
TC001_36_0,C001,2023-08-22 10:35:00,TCM,buy,60,34.31,4.090632697052706
TC001_36_1,C001,2023-08-22 11:04:00,TCM,buy,29,31.58,4.540296579309929
TC001_36_2,C001,2023-08-22 10:22:00,FPT,buy,31,63.67,6.401331586842236
TC001_36_3,C001,2023-08-22 10:02:00,FPT,buy,32,62.58,2.8681669206793994
TC001_36_4,C001,2023-08-22 10:35:00,FPT,buy,23,62.8,1.7171351426060926
TC001_36_5,C001,2023-08-22 13:56:00,FPT,sell,86,59.51,20.99773158390313
TC001_36_close,C001,2023-08-22 14:42:00,TCM,sell,89,33.31,3.8982598372885304
TC001_37_0,C001,2023-08-23 10:07:00,TCM,buy,45,33.95,4.42574758176334
TC001_37_1,C001,2023-08-23 09:15:00,PET,buy,78,25.12,2.9054602206823192
TC001_37_2,C001,2023-08-23 09:21:00,PET,buy,12,28.31,0.39594893848467916
TC001_37_3,C001,2023-08-23 11:17:00,CSV,buy,52,15.92,1.183895518227035
TC001_37_4,C001,2023-08-23 09:56:00,CSV,buy,28,12.6,1.6995460676964786
TC001_37_7,C001,2023-08-23 13:24:00,CSV,sell,43,12.81,0.779145074963991
TC001_37_9,C001,2023-08-23 13:19:00,TCM,sell,14,32.4,2.096140464504216
TC001_37_close,C001,2023-08-23 13:37:00,PET,sell,90,21.26,9.503051412271798
TC001_38_0,C001,2023-08-24 09:41:00,CSV,buy,43,13.41,0.9037547612321464
TC001_38_1,C001,2023-08-24 09:31:00,CSV,buy,13,12.81,0.4703327280893752
TC001_38_3,C001,2023-08-24 13:02:00,CSV,sell,16,15.41,0.4021417696940627
TC001_39_0,C001,2023-08-25 09:08:00,YEG,buy,22,6.76,0.33988998132376236
TC001_39_1,C001,2023-08-25 11:09:00,TCM,buy,11,33.6,1.4802443739875042
TC001_39_2,C001,2023-08-25 10:45:00,FPT,buy,37,62.38,5.339029713129502
